csv_categoryName,csv_categoryShortName,csv_name,csv_description,csv_mrp,csv_sellingPrice,csv_discount
Rigveda Sahitya,RIG,Rigveda Vol 1 Grand Edition (RIG),Premium high quality matching item for Rigveda Vol 1 Grand Edition (RIG) mapped under category Rigveda Sahitya.,450.00,450.00,0.00
Rigveda Sahitya,RIG,Rigveda Vol 2 Standard Text (RIG),Premium high quality matching item for Rigveda Vol 2 Standard Text (RIG) mapped under category Rigveda Sahitya.,250.00,250.00,0.00
Rigveda Sahitya,RIG,Rigveda Vol 3 Advanced Study (RIG),Premium high quality matching item for Rigveda Vol 3 Advanced Study (RIG) mapped under category Rigveda Sahitya.,450.00,450.00,0.00
Rigveda Sahitya,RIG,Rigveda Vol 4 Complete Guide (RIG),Premium high quality matching item for Rigveda Vol 4 Complete Guide (RIG) mapped under category Rigveda Sahitya.,1200.00,1200.00,0.00
Rigveda Sahitya,RIG,Rigveda Foundational Basic Text (RIG),Premium high quality matching item for Rigveda Foundational Basic Text (RIG) mapped under category Rigveda Sahitya.,1200.00,1200.00,0.00
Rigveda Sahitya,RIG,Rigveda Classical Commentary (RIG),Premium high quality matching item for Rigveda Classical Commentary (RIG) mapped under category Rigveda Sahitya.,350.00,350.00,0.00
Rigveda Sahitya,RIG,Rigveda Practical Workbook Set (RIG),Premium high quality matching item for Rigveda Practical Workbook Set (RIG) mapped under category Rigveda Sahitya.,600.00,600.00,0.00
Rigveda Sahitya,RIG,Rigveda Authentic Handbook (RIG),Premium high quality matching item for Rigveda Authentic Handbook (RIG) mapped under category Rigveda Sahitya.,350.00,350.00,0.00
Rigveda Sahitya,RIG,Rigveda Wall Charts Set (RIG),Premium high quality matching item for Rigveda Wall Charts Set (RIG) mapped under category Rigveda Sahitya.,250.00,250.00,0.00
Rigveda Sahitya,RIG,Rigveda Reference Manual (RIG),Premium high quality matching item for Rigveda Reference Manual (RIG) mapped under category Rigveda Sahitya.,850.00,850.00,0.00
Rigveda Sahitya,RIG,Rigveda Premium Natural Essence (RIG),Premium high quality matching item for Rigveda Premium Natural Essence (RIG) mapped under category Rigveda Sahitya.,1200.00,1200.00,0.00
Rigveda Sahitya,RIG,Rigveda Pure Extract Drops (RIG),Premium high quality matching item for Rigveda Pure Extract Drops (RIG) mapped under category Rigveda Sahitya.,1200.00,1200.00,0.00
Rigveda Sahitya,RIG,Rigveda Therapeutic Tablets (RIG),Premium high quality matching item for Rigveda Therapeutic Tablets (RIG) mapped under category Rigveda Sahitya.,850.00,850.00,0.00
Rigveda Sahitya,RIG,Rigveda Herbal Powder Mix (RIG),Premium high quality matching item for Rigveda Herbal Powder Mix (RIG) mapped under category Rigveda Sahitya.,250.00,250.00,0.00
Rigveda Sahitya,RIG,Rigveda Premium Concentrated Oil (RIG),Premium high quality matching item for Rigveda Premium Concentrated Oil (RIG) mapped under category Rigveda Sahitya.,600.00,600.00,0.00
Rigveda Sahitya,RIG,Rigveda Special Application Lepa (RIG),Premium high quality matching item for Rigveda Special Application Lepa (RIG) mapped under category Rigveda Sahitya.,250.00,250.00,0.00
Rigveda Sahitya,RIG,Rigveda Natural Rejuvenator (RIG),Premium high quality matching item for Rigveda Natural Rejuvenator (RIG) mapped under category Rigveda Sahitya.,350.00,350.00,0.00
