product_name,product_quantity,product_reason
Rigveda Vol 1 Grand Edition (RIG),299,Initial Opening stock entry
Rigveda Vol 2 Standard Text (RIG),345,Inward inventory lot allocation
Rigveda Vol 3 Advanced Study (RIG),282,Initial setup warehouse inventory allocation
Rigveda Vol 4 Complete Guide (RIG),253,Warehouse inbound allocation transfer
Rigveda Foundational Basic Text (RIG),204,Bulk counter stock inward entry
Rigveda Classical Commentary (RIG),223,Initial Opening stock entry
Rigveda Practical Workbook Set (RIG),276,Inward inventory lot allocation
Rigveda Authentic Handbook (RIG),375,Initial setup warehouse inventory allocation
Rigveda Wall Charts Set (RIG),282,Warehouse inbound allocation transfer
Rigveda Reference Manual (RIG),214,Bulk counter stock inward entry
Rigveda Premium Natural Essence (RIG),430,Initial Opening stock entry
Rigveda Pure Extract Drops (RIG),317,Inward inventory lot allocation
Rigveda Therapeutic Tablets (RIG),239,Initial setup warehouse inventory allocation
Rigveda Herbal Powder Mix (RIG),201,Warehouse inbound allocation transfer
Rigveda Premium Concentrated Oil (RIG),371,Bulk counter stock inward entry
Rigveda Special Application Lepa (RIG),329,Initial Opening stock entry
Rigveda Natural Rejuvenator (RIG),398,Inward inventory lot allocation
Rigveda Pure Aqueous Drops (RIG),459,Initial setup warehouse inventory allocation
Rigveda Ultimate Seeker Starter Kit (RIG),496,Warehouse inbound allocation transfer
Rigveda Safe Storage Guide (RIG),415,Bulk counter stock inward entry
Yajurveda Vol 1 Grand Edition (YAJ),436,Initial Opening stock entry
Yajurveda Vol 2 Standard Text (YAJ),315,Inward inventory lot allocation
Yajurveda Vol 3 Advanced Study (YAJ),387,Initial setup warehouse inventory allocation
Yajurveda Vol 4 Complete Guide (YAJ),288,Warehouse inbound allocation transfer
Yajurveda Foundational Basic Text (YAJ),378,Bulk counter stock inward entry
Yajurveda Classical Commentary (YAJ),228,Initial Opening stock entry
Yajurveda Practical Workbook Set (YAJ),239,Inward inventory lot allocation
Yajurveda Authentic Handbook (YAJ),233,Initial setup warehouse inventory allocation
Yajurveda Wall Charts Set (YAJ),460,Warehouse inbound allocation transfer
Yajurveda Reference Manual (YAJ),275,Bulk counter stock inward entry
Yajurveda Premium Natural Essence (YAJ),491,Initial Opening stock entry
Yajurveda Pure Extract Drops (YAJ),455,Inward inventory lot allocation
Yajurveda Therapeutic Tablets (YAJ),342,Initial setup warehouse inventory allocation
Yajurveda Herbal Powder Mix (YAJ),446,Warehouse inbound allocation transfer
Yajurveda Premium Concentrated Oil (YAJ),332,Bulk counter stock inward entry
Yajurveda Special Application Lepa (YAJ),499,Initial Opening stock entry
Yajurveda Natural Rejuvenator (YAJ),271,Inward inventory lot allocation
Yajurveda Pure Aqueous Drops (YAJ),332,Initial setup warehouse inventory allocation
Yajurveda Ultimate Seeker Starter Kit (YAJ),414,Warehouse inbound allocation transfer
Yajurveda Safe Storage Guide (YAJ),329,Bulk counter stock inward entry
Samaveda Vol 1 Grand Edition (SAM),208,Initial Opening stock entry
Samaveda Vol 2 Standard Text (SAM),283,Inward inventory lot allocation
Samaveda Vol 3 Advanced Study (SAM),334,Initial setup warehouse inventory allocation
Samaveda Vol 4 Complete Guide (SAM),279,Warehouse inbound allocation transfer
Samaveda Foundational Basic Text (SAM),362,Bulk counter stock inward entry
Samaveda Classical Commentary (SAM),472,Initial Opening stock entry
Samaveda Practical Workbook Set (SAM),414,Inward inventory lot allocation
Samaveda Authentic Handbook (SAM),240,Initial setup warehouse inventory allocation
Samaveda Wall Charts Set (SAM),466,Warehouse inbound allocation transfer
Samaveda Reference Manual (SAM),466,Bulk counter stock inward entry
Samaveda Premium Natural Essence (SAM),424,Initial Opening stock entry
Samaveda Pure Extract Drops (SAM),367,Inward inventory lot allocation
Samaveda Therapeutic Tablets (SAM),444,Initial setup warehouse inventory allocation
Samaveda Herbal Powder Mix (SAM),360,Warehouse inbound allocation transfer
Samaveda Premium Concentrated Oil (SAM),217,Bulk counter stock inward entry
Samaveda Special Application Lepa (SAM),428,Initial Opening stock entry
Samaveda Natural Rejuvenator (SAM),306,Inward inventory lot allocation
Samaveda Pure Aqueous Drops (SAM),243,Initial setup warehouse inventory allocation
Samaveda Ultimate Seeker Starter Kit (SAM),200,Warehouse inbound allocation transfer
Samaveda Safe Storage Guide (SAM),289,Bulk counter stock inward entry
Atharvaveda Vol 1 Grand Edition (ATH),446,Initial Opening stock entry
Atharvaveda Vol 2 Standard Text (ATH),302,Inward inventory lot allocation
Atharvaveda Vol 3 Advanced Study (ATH),250,Initial setup warehouse inventory allocation
Atharvaveda Vol 4 Complete Guide (ATH),437,Warehouse inbound allocation transfer
Atharvaveda Foundational Basic Text (ATH),481,Bulk counter stock inward entry
Atharvaveda Classical Commentary (ATH),496,Initial Opening stock entry
Atharvaveda Practical Workbook Set (ATH),325,Inward inventory lot allocation
Atharvaveda Authentic Handbook (ATH),304,Initial setup warehouse inventory allocation
Atharvaveda Wall Charts Set (ATH),496,Warehouse inbound allocation transfer
Atharvaveda Reference Manual (ATH),413,Bulk counter stock inward entry
Atharvaveda Premium Natural Essence (ATH),227,Initial Opening stock entry
Atharvaveda Pure Extract Drops (ATH),444,Inward inventory lot allocation
Atharvaveda Therapeutic Tablets (ATH),452,Initial setup warehouse inventory allocation
Atharvaveda Herbal Powder Mix (ATH),479,Warehouse inbound allocation transfer
Atharvaveda Premium Concentrated Oil (ATH),405,Bulk counter stock inward entry
Atharvaveda Special Application Lepa (ATH),203,Initial Opening stock entry
Atharvaveda Natural Rejuvenator (ATH),407,Inward inventory lot allocation
Atharvaveda Pure Aqueous Drops (ATH),247,Initial setup warehouse inventory allocation
Atharvaveda Ultimate Seeker Starter Kit (ATH),434,Warehouse inbound allocation transfer
Atharvaveda Safe Storage Guide (ATH),378,Bulk counter stock inward entry
Upanishad Vol 1 Grand Edition (UPA),245,Initial Opening stock entry
Upanishad Vol 2 Standard Text (UPA),319,Inward inventory lot allocation
Upanishad Vol 3 Advanced Study (UPA),395,Initial setup warehouse inventory allocation
Upanishad Vol 4 Complete Guide (UPA),243,Warehouse inbound allocation transfer
Upanishad Foundational Basic Text (UPA),465,Bulk counter stock inward entry
Upanishad Classical Commentary (UPA),325,Initial Opening stock entry
Upanishad Practical Workbook Set (UPA),369,Inward inventory lot allocation
Upanishad Authentic Handbook (UPA),230,Initial setup warehouse inventory allocation
Upanishad Wall Charts Set (UPA),301,Warehouse inbound allocation transfer
Upanishad Reference Manual (UPA),481,Bulk counter stock inward entry
Upanishad Premium Natural Essence (UPA),478,Initial Opening stock entry
Upanishad Pure Extract Drops (UPA),449,Inward inventory lot allocation
Upanishad Therapeutic Tablets (UPA),454,Initial setup warehouse inventory allocation
Upanishad Herbal Powder Mix (UPA),397,Warehouse inbound allocation transfer
Upanishad Premium Concentrated Oil (UPA),243,Bulk counter stock inward entry
Upanishad Special Application Lepa (UPA),203,Initial Opening stock entry
Upanishad Natural Rejuvenator (UPA),432,Inward inventory lot allocation
Upanishad Pure Aqueous Drops (UPA),206,Initial setup warehouse inventory allocation
Upanishad Ultimate Seeker Starter Kit (UPA),497,Warehouse inbound allocation transfer
Upanishad Safe Storage Guide (UPA),481,Bulk counter stock inward entry
Vedanga Vol 1 Grand Edition (VED),328,Initial Opening stock entry
Vedanga Vol 2 Standard Text (VED),346,Inward inventory lot allocation
Vedanga Vol 3 Advanced Study (VED),314,Initial setup warehouse inventory allocation
Vedanga Vol 4 Complete Guide (VED),444,Warehouse inbound allocation transfer
Vedanga Foundational Basic Text (VED),219,Bulk counter stock inward entry
Vedanga Classical Commentary (VED),477,Initial Opening stock entry
Vedanga Practical Workbook Set (VED),302,Inward inventory lot allocation
Vedanga Authentic Handbook (VED),493,Initial setup warehouse inventory allocation
Vedanga Wall Charts Set (VED),224,Warehouse inbound allocation transfer
Vedanga Reference Manual (VED),294,Bulk counter stock inward entry
Vedanga Premium Natural Essence (VED),478,Initial Opening stock entry
Vedanga Pure Extract Drops (VED),236,Inward inventory lot allocation
Vedanga Therapeutic Tablets (VED),399,Initial setup warehouse inventory allocation
Vedanga Herbal Powder Mix (VED),465,Warehouse inbound allocation transfer
Vedanga Premium Concentrated Oil (VED),461,Bulk counter stock inward entry
Vedanga Special Application Lepa (VED),275,Initial Opening stock entry
Vedanga Natural Rejuvenator (VED),231,Inward inventory lot allocation
Vedanga Pure Aqueous Drops (VED),376,Initial setup warehouse inventory allocation
Vedanga Ultimate Seeker Starter Kit (VED),234,Warehouse inbound allocation transfer
Vedanga Safe Storage Guide (VED),227,Bulk counter stock inward entry
Darshana Vol 1 Grand Edition (DAR),251,Initial Opening stock entry
Darshana Vol 2 Standard Text (DAR),466,Inward inventory lot allocation
Darshana Vol 3 Advanced Study (DAR),320,Initial setup warehouse inventory allocation
